Type,Aggregation,Statement,MatrixA,MatrixB,VectorV,Execution,Memory,Relation-Size,MSE
float8,standard,1,900,900,30,0.033083,6137856.0,-1,-1
float8,standard,2,900,900,30,0.109466,4211097.6,-1,-1
float8,standard,3,900,900,30,0.01095,6557696.0,-1,-1
float8,standard,4,900,900,30,0.011612,9365913.6,-1,-1
float4,standard,1,900,900,30,0.03797,8244838.4,-1,-1
float4,standard,2,900,900,30,0.089054,8973107.2,-1,-1
float4,standard,3,900,900,30,0.007762,6824755.2,-1,-1
float4,standard,4,900,900,30,0.012112,9357721.6,-1,-1
float8,standard,1,10000,10000,100,0.231137,6098534.4,-1,-1
float8,standard,2,10000,10000,100,1.597086,73839411.2,-1,-1
float8,standard,3,10000,10000,100,0.016431,11474944.0,-1,-1
float8,standard,4,10000,10000,100,0.027168,9084108.8,-1,-1
float4,standard,1,10000,10000,100,0.215057,7514521.6,-1,-1
float4,standard,2,10000,10000,100,1.274892,27184332.8,-1,-1
float4,standard,3,10000,10000,100,0.018379,11074764.8,-1,-1
float4,standard,4,10000,10000,100,0.022725,9940582.4,-1,-1
float8,standard,1,90000,90000,300,4.134312,12288409.6,-1,-1
float8,standard,2,90000,90000,300,27.071441,1610566860.8,-1,-1
float8,standard,3,90000,90000,300,0.105111,4787814.4,-1,-1
float8,standard,4,90000,90000,300,0.151698,14332723.2,-1,-1
float4,standard,1,90000,90000,300,4.058052,10989568.0,-1,-1
float4,standard,2,90000,90000,300,23.296933,1403747532.8,-1,-1
float4,standard,3,90000,90000,300,0.082377,2847129.6,-1,-1
float4,standard,4,90000,90000,300,0.133721,7462092.8,-1,-1
float8,standard,1,1000000,1000000,1000,41.476556,16647372.8,-1,-1
float8,standard,3,1000000,1000000,1000,0.328897,20139622.4,-1,-1
float8,standard,4,1000000,1000000,1000,0.613964,16814080.0,-1,-1
float4,standard,1,1000000,1000000,1000,40.699978,21489254.4,-1,-1
float4,standard,3,1000000,1000000,1000,0.288519,12136448.0,-1,-1
float4,standard,4,1000000,1000000,1000,0.614776,13737164.8,-1,-1
float8,standard,1,9610000,9610000,3100,1360.921926,267596185.6,-1,-1
float8,standard,3,9610000,9610000,3100,1.892318,107508121.6,-1,-1
float8,standard,4,9610000,9610000,3100,3.94109,62316134.4,-1,-1
float4,standard,1,9610000,9610000,3100,1230.133004,369139712.0,-1,-1
float4,standard,3,9610000,9610000,3100,1.764653,49182720.0,-1,-1
float4,standard,4,9610000,9610000,3100,3.979499,30093721.6,-1,-1
