Type,Aggregation,Parameters,Points,Iterations,Execution,Memory,Relation-Size,MAPE
double,standard,2,10,20,0.107509,26521190.4,536576,0.9270678131827434
double,kahan,2,10,20,0.10214,23425024.0,536576,0.9270678131827431
float,standard,2,10,20,0.10465,18966528.0,536576,0.92706775319431
float,kahan,2,10,20,0.10867,21816934.4,536576,0.92706775319431
bfloat,standard,2,10,20,0.111179,20481638.4,536576,0.9320968974378389
bfloat,kahan,2,10,20,0.109805,21402828.8,536576,0.9335286861939812
double,standard,2,1000,20,0.112977,21161984.0,536576,0.8197013429398774
double,kahan,2,1000,20,0.10642,24764006.4,536576,0.8197013429398778
float,standard,2,1000,20,0.111555,20554137.6,536576,0.8197013070815864
float,kahan,2,1000,20,0.102639,19612057.6,536576,0.8197015253787545
bfloat,standard,2,1000,20,0.110975,22437478.4,536576,2.951728544489322
bfloat,kahan,2,1000,20,0.115499,25006080.0,536576,0.8153487329440442
double,standard,2,100000,20,0.212684,28278784.0,536576,0.8471327417592195
double,kahan,2,100000,20,0.238308,25789644.8,536576,0.847132741759217
float,standard,2,100000,20,0.13623,19731251.2,536576,0.8471331499600093
float,kahan,2,100000,20,0.199838,19546931.2,536576,0.8471329134422507
bfloat,standard,2,100000,20,0.623694,18709708.8,536576,12.33319317794093
bfloat,kahan,2,100000,20,0.680996,22184345.6,536576,0.8479928249671943
double,standard,2,10000000,20,0.626462,167998259.2,536576,0.8469465266580308
double,kahan,2,10000000,20,0.680765,176762060.8,536576,0.8469465266580303
float,standard,2,10000000,20,0.590974,92169011.2,536576,0.8469575007309945
float,kahan,2,10000000,20,0.638593,90612940.8,536576,0.8469464825729418
bfloat,standard,2,10000000,20,2.016353,79842099.2,536576,12.333238067942112
bfloat,kahan,2,10000000,20,2.588691,84500480.0,536576,3.185576732305622
double,standard,2,1000000000,20,26.886499,14155889049.6,536576,0.8468075371756414
double,kahan,2,1000000000,20,30.893882,14297169100.8,536576,0.8468075371756518
float,standard,2,1000000000,20,22.153528,6826049536.0,536576,0.8969038427038074
float,kahan,2,1000000000,20,26.264389,6824770355.2,536576,0.8468078728158049
bfloat,standard,2,1000000000,20,138.595966,5545141862.4,536576,12.333250814496138
bfloat,kahan,2,1000000000,20,180.489231,5538376499.2,536576,12.333250814496099
double,standard,4,10000000,20,0.9761,289997619.2,536576,0.5349810954631855
double,kahan,4,10000000,20,1.078846,265967206.4,536576,0.5349810954631863
float,standard,4,10000000,20,0.918783,132041113.6,536576,0.5349871092325178
float,kahan,4,10000000,20,0.962831,139018240.0,536576,0.5349811227325258
bfloat,standard,4,10000000,20,4.410541,137092300.8,536576,12.333062248789165
bfloat,kahan,4,10000000,20,5.47936,148368588.8,536576,0.8394655185481289
double,standard,6,10000000,20,1.308942,430123827.2,536576,0.38381190853806685
double,kahan,6,10000000,20,1.523048,393793536.0,536576,0.38381190853806657
float,standard,6,10000000,20,1.172492,169621913.6,536576,0.3838157743123671
float,kahan,6,10000000,20,1.331942,201793126.4,536576,0.3838119320443896
bfloat,standard,6,10000000,20,6.608521,200814182.4,536576,12.332929427231845
bfloat,kahan,6,10000000,20,8.106261,198856294.4,536576,0.21880943281379234
double,standard,8,10000000,20,1.768694,541763584.0,536576,0.29296606892966826
double,kahan,8,10000000,20,1.902978,555778048.0,536576,0.29296606892966764
float,standard,8,10000000,20,1.568121,256165888.0,536576,0.2929688978007198
float,kahan,8,10000000,20,1.709308,313222348.8,536576,0.2929660311941631
bfloat,standard,8,10000000,20,8.916065,227772825.6,536576,12.332870591696643
bfloat,kahan,8,10000000,20,10.989544,251465318.4,536576,0.11717817464937647
double,standard,10,10000000,20,2.500099,713430220.8,536576,0.2320443050272184
double,kahan,10,10000000,20,2.646004,722517196.8,536576,0.23204430502721873
float,standard,10,10000000,20,1.796017,364583731.2,536576,0.23204636360141112
float,kahan,10,10000000,20,2.147778,381317939.2,536576,0.232044335068666
bfloat,standard,10,10000000,20,10.742593,328631091.2,536576,12.333020306960458
bfloat,kahan,10,10000000,20,13.140454,321246412.8,536576,0.060246931392606964
