Type,Aggregation,Parameters,Points,Iterations,Execution,Memory,Relation-Size,MAPE
float8,standard,2,10,20,0.011419,5110579.2,-1,-1
float4,standard,2,10,20,0.011657,4621516.8,-1,-1
float8,standard,2,1000,20,0.026447,5893734.4,-1,-1
float4,standard,2,1000,20,0.027428,5931827.2,-1,-1
float8,standard,2,100000,20,0.700446,4413030.4,-1,-1
float4,standard,2,100000,20,0.607953,7573094.4,-1,-1
float8,standard,2,10000000,20,49.535918,11198054.4,-1,-1
float4,standard,2,10000000,20,42.620433,10070835.2,-1,-1
float8,standard,4,10000000,20,72.130417,19103334.4,-1,-1
float4,standard,4,10000000,20,71.425092,19000934.4,-1,-1
float8,standard,6,10000000,20,159.358264,6609305.6,-1,-1
float4,standard,6,10000000,20,139.132706,18622464.0,-1,-1
float8,standard,8,10000000,20,228.630359,3900620.8,-1,-1
float4,standard,8,10000000,20,193.192882,18445926.4,-1,-1
float8,standard,10,10000000,20,315.174956,3348889.6,-1,-1
float4,standard,10,10000000,20,276.167719,23122739.2,-1,-1
