Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
double,300,150,0.01,20,0.978758,90929561.6,798720,0.3333333333333333
float,300,150,0.01,20,0.670011,65216102.4,536576,0.3333333333333333
bfloat,300,150,0.01,20,1.224907,57552896.0,536576,0.3333333333333333
double,300,300,0.01,20,1.416904,116842086.4,798720,0.3333333333333333
float,300,300,0.01,20,1.440732,89339084.8,536576,0.3333333333333333
bfloat,300,300,0.01,20,2.12429,79310848.0,536576,0.3333333333333333
double,300,600,0.01,20,3.532189,135220838.4,798720,0.3333333333333333
float,300,600,0.01,20,3.189864,76227379.2,536576,0.3333333333333333
bfloat,300,600,0.01,20,4.374279,57853542.4,536576,0.3333333333333333
double,300,1200,0.01,20,11.239196,166722355.2,798720,0.3333333333333333
float,300,1200,0.01,20,8.817928,125899161.6,536576,0.3333333333333333
bfloat,300,1200,0.01,20,16.269288,106789683.2,536576,0.3333333333333333
double,100,1200,0.01,20,5.042219,116194918.4,536576,0.3333333333333333
float,100,1200,0.01,20,3.863826,73709158.4,536576,0.3333333333333333
bfloat,100,1200,0.01,20,4.579079,55998464.0,536576,0.3333333333333333
double,200,1200,0.01,20,7.592736,140672614.4,536576,0.3333333333333333
float,200,1200,0.01,20,6.57649,99181363.2,536576,0.3333333333333333
bfloat,200,1200,0.01,20,7.730673,66900377.6,536576,0.3333333333333333
double,400,1200,0.01,20,14.468052,218066944.0,798720,0.3333333333333333
float,400,1200,0.01,20,10.846697,133069209.6,536576,0.3333333333333333
bfloat,400,1200,0.01,20,14.884232,159550668.8,536576,0.3333333333333333
double,300,1200,0.01,1,0.788437,64948224.0,536576,0.3333333333333333
float,300,1200,0.01,1,0.598644,34483814.4,536576,0.3333333333333333
bfloat,300,1200,0.01,1,0.827329,33694105.6,536576,0.3333333333333333
double,300,1200,0.01,5,3.278678,118460006.4,536576,0.3333333333333333
float,300,1200,0.01,5,2.896108,67842457.6,536576,0.3333333333333333
bfloat,300,1200,0.01,5,3.387281,47496396.8,536576,0.3333333333333333
double,300,1200,0.01,10,5.864367,148159283.2,536576,0.3333333333333333
float,300,1200,0.01,10,4.858008,108380160.0,536576,0.3333333333333333
bfloat,300,1200,0.01,10,5.437246,75008409.6,536576,0.3333333333333333
double,300,1200,0.01,15,8.414665,145890099.2,536576,0.3333333333333333
float,300,1200,0.01,15,6.543418,144151347.2,536576,0.3333333333333333
bfloat,300,1200,0.01,15,7.972313,82979225.6,536576,0.3333333333333333
