Type,Network_Size,Data_Size,Learning_Rate,Iterations,Execution,Memory,Relation-Size,Accuracy
float8,300,150,0.05,20,0,2.27,0,-1
float4,300,150,0.05,20,0,1.29,0,-1
bfloat,300,150,0.05,20,0,0.77048828125,0,-1
float8,300,300,0.05,20,0,4.42,0,-1
float4,300,300,0.05,20,0,2.46,0,-1
bfloat,300,300,0.05,20,0,1.45,0,-1
float8,300,600,0.05,20,0,8.72,0,-1
float4,300,600,0.05,20,0,4.8,0,-1
bfloat,300,600,0.05,20,0,2.79,0,-1
float8,300,1200,0.05,20,0,17.3,0,-1
float4,300,1200,0.05,20,0,9.48,0,-1
bfloat,300,1200,0.05,20,0,5.45,0,-1
float8,100,1200,0.05,20,0,6.05,0,-1
float4,100,1200,0.05,20,0,3.36,0,-1
bfloat,100,1200,0.05,20,0,2.06,0,-1
float8,200,1200,0.05,20,0,11.98,0,-1
float4,200,1200,0.05,20,0,6.4,0,-1
bfloat,200,1200,0.05,20,0,3.71,0,-1
float8,400,1200,0.05,20,0,22.92,0,-1
float4,400,1200,0.05,20,0,12.77,0,-1
bfloat,400,1200,0.05,20,0,7.2,0,-1
