Type,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Loss,DuckDB-Sum,Tensorflow-Sum
float,100,100,10,0.034658,0.002265625,0.03263671875,4.3766647261120295e-06,127.89497399999999,127.89497
bfloat,100,100,10,0.020285,0.00224609375,0.032939453125,0.3801726581436387,127.75,128
float,400,400,20,0.023326,0.002275390625,0.034130859375,6.376874303124226e-05,920.2395700000001,920.23944
bfloat,400,400,20,0.035752,0.00224609375,0.03197265625,13.840610535666409,860.5,916
float,900,900,30,0.022243,0.00244140625,0.032001953125,0.0002700959398375386,3129.654822,3129.6548
bfloat,900,900,30,0.039605,0.002421875,0.033095703125,112.95795678038799,2515.5,3120
float,1600,1600,40,0.037965,0.002451171875,0.031943359375,0.0009847756090858065,9374.19305,9374.191
bfloat,1600,1600,40,0.04336,0.002421875,0.033896484375,533.492267985207,6052.0,9344
float,3600,3600,60,0.041687,0.002451171875,0.03166015625,0.003048563938456221,30118.09025,30118.096
bfloat,3600,3600,60,0.053773,0.002431640625,0.0344921875,2209.4589835523084,13063.0,30080
float,4900,4900,70,0.035621,0.002451171875,0.032958984375,0.005789034338708651,46246.87648999999,46246.87
bfloat,4900,4900,70,0.06757,0.002431640625,0.03197265625,3434.361658299836,17674.0,47104
float,6400,6400,80,0.047008,0.002451171875,0.033583984375,0.007424421621109056,63599.17622,63599.17
bfloat,6400,6400,80,0.096177,0.002431640625,0.03212890625,4874.806252560198,20190.0,62208
float,8100,8100,90,0.057136,0.002451171875,0.032177734375,0.01253264687130411,86620.26318999998,86620.25
bfloat,8100,8100,90,0.098253,0.002431640625,0.03197265625,6722.929123529416,23040.0,89088
float,10000,10000,100,0.075884,0.002451171875,0.032158203125,0.01957971660946383,118051.47769999999,118051.5
bfloat,10000,10000,100,0.0927,0.00251953125,0.032080078125,9263.602754868109,25600.0,115712
float,40000,40000,200,0.209635,0.002646484375,0.033173828125,0.19334461845874387,922997.5672,922998.4
bfloat,40000,40000,200,0.386835,0.002646484375,0.032607421875,61717.86541999002,51200.0,851968
float,90000,90000,300,0.350458,0.003642578125,0.042431640625,1.1817736052760515,3400982.5915,3400996.5
bfloat,90000,90000,300,1.776599,0.003642578125,0.04140625,192043.94163836568,76800.0,3.47341e+06
float,160000,160000,400,0.909451,0.00505859375,0.047333984375,7.229505583472971,7726971.27,7727107.0
bfloat,160000,160000,400,2.055805,0.005048828125,0.04541015625,381363.3641135446,102656.0,8.38861e+06
float,250000,250000,500,1.151521,0.006865234375,0.051279296875,20.015749587244198,15864019.550999999,15864452.0
bfloat,250000,250000,500,3.363189,0.00685546875,0.04919921875,704027.5194621301,128512.0,1.01581e+07
float,360000,360000,600,1.32387,0.00904296875,0.05759765625,66.48659301288029,27046655.162,27048258.0
bfloat,360000,360000,600,3.786181,0.009033203125,0.05669921875,1098352.687924967,154112.0,1.67772e+07
float,490000,490000,700,1.590949,0.011640625,0.0648046875,128.68139577593607,42933904.7175,42937270.0
bfloat,490000,490000,700,4.467426,0.011640625,0.060703125,1616593.5220555598,179968.0,1.67772e+07
float,640000,640000,800,1.793281,0.01466796875,0.07681640625,426.06854740785997,64935947.961,64947932.0
bfloat,640000,640000,800,5.10458,0.014658203125,0.071513671875,2289488.007547539,206080.0,3.35544e+07
float,810000,810000,900,2.022806,0.018056640625,0.08380859375,717.6782438691905,91215112.51,91236560.0
bfloat,810000,810000,900,5.892661,0.018046875,0.07798828125,3034164.8540789606,231936.0,3.35544e+07
float,1000000,1000000,1000,2.188049,0.021875,0.091884765625,1079.6256245164438,125065633.74000001,125099660.0
bfloat,1000000,1000000,1000,6.573909,0.021865234375,0.081640625,3948854.2284769136,258048.0,3.40787e+07
float,6250000,6250000,2500,13.969837,0.126689453125,0.391220703125,280426.25772138394,1992788071.1,2006767600.0
bfloat,6250000,6250000,2500,52.727285,0.126611328125,0.3396484375,40124320.98479933,653928.0,2.68435e+08
float,25000000,25000000,5000,133.652456,0.49869140625,1.4,13028550.841922445,14645066445.25,15561079000.0
bfloat,25000000,25000000,5000,419.226167,0.498408203125,1.21,220084913.3353432,1339136.0,1.07374e+09
float,56250000,56250000,7500,435.25127,1.15,2.86,103223634.21840507,44596252700.0,53469774000.0
bfloat,56250000,56250000,7500,1528.556827,1.14,2.47,617418898.1482542,2062336.0,2.14748e+09
float,100000000,100000000,10000,1317.576759,2.03,5.0,365065814.58476704,90239159056.0,126452200000.0
bfloat,100000000,100000000,10000,3245.848055,2.03,4.52,1264564847.1407957,2829056.0,4.29497e+09
