Type,Network_Size,Data_Size,Iterations,Execution,Heap,RSS,DuckDB,Tensorflow
float,100,150,100,12.980069,0.08423828125,0.44388671875,[[0.82]],-
bfloat,100,150,100,16.192598,0.08251953125,0.4358984375,[[0.79333335]],-
float,100,300,100,16.659719,0.0851953125,0.751103515625,[[0.94]],-
bfloat,100,300,100,26.331854,0.085087890625,0.687109375,[[0.6933333]],-
float,100,600,100,14.530484,0.097041015625,1.79,[[0.9066667]],-
bfloat,100,600,100,20.959369,0.097216796875,1.69,[[0.7733333]],-
float,100,1200,100,27.282153,0.114072265625,3.34,[[0.94666666]],-
bfloat,100,1200,100,42.416729,0.11369140625,2.95,[[0.78]],-
float,100,2400,100,58.286917,0.12919921875,5.28,[[0.87333333]],-
bfloat,100,2400,100,84.399583,0.12681640625,4.81,[[0.92]],-
float,100,4800,100,94.492415,0.1626171875,9.83,[[0.6666667]],-
bfloat,100,4800,100,176.46539,0.15734375,8.22,[[0.8933333]],-
float,300,150,100,35.898005,0.087041015625,0.805849609375,[[0.33333334]],-
bfloat,300,150,100,36.641272,0.085859375,0.7427734375,[[0.49333334]],-
float,300,300,100,41.250428,0.089658203125,1.4,[[0.64]],-
bfloat,300,300,100,38.767003,0.089580078125,1.22,[[0.33333334]],-
float,300,600,100,45.841115,0.092099609375,3.75,[[0.37333333]],-
bfloat,300,600,100,58.955503,0.09203125,3.25,[[0.33333334]],-
float,300,1200,100,180.374934,0.112060546875,7.07,[[0.33333334]],-
bfloat,300,1200,100,96.729392,0.107138671875,5.94,[[0.33333334]],-
float,300,2400,100,120.301757,0.163134765625,13.51,[[0.33333334]],-
bfloat,300,2400,100,163.962954,0.153525390625,11.11,[[0.33333334]],-
float,300,4800,100,142.736145,0.28603515625,26.93,[[0.33333334]],-
bfloat,300,4800,100,232.213806,0.26494140625,22.66,[[0.33333334]],-
